年,月,日,曜日,気温,降水量,日射量,降雪量,風速,最多風向,気圧,湿度,雲量,天気概況(昼),天気概況(夜)
2018,1,1,月,6.2,0,11.59,0,2.7,北北西,1009.7,55,1.0,晴,晴
2018,1,2,火,6.1,0,11.89,0,3.2,北西,1011.2,42,0.3,快晴,晴
2018,1,3,水,4.9,0,11.77,0,5.2,北西,1010.3,43,0.8,快晴,快晴
2018,1,4,木,4.7,0,11.99,0,2.8,北北西,1015.0,41,0.8,快晴,晴後曇
2018,1,5,金,3.7,0.0,4.07,0,1.8,北,1012.3,60,10.0,曇一時雨,晴一時曇
2018,1,6,土,4.6,0,11.54,0,1.9,北西,1008.4,57,1.5,晴,晴
2018,1,7,日,6.3,0,11.88,0,2.8,北西,1016.8,41,6.3,晴一時薄曇,曇
2018,1,8,月,5.5,8.0,3.52,0,1.9,北北西,1011.8,71,10.0,曇時々雨、みぞれを伴う,雨一時曇
2018,1,9,火,8.5,1.5,8.34,0,2.7,南,993.4,65,5.8,曇後晴,快晴
2018,1,10,水,7.5,0,12.24,0,4.7,南南西,1003.9,41,0.0,快晴,快晴
2018,1,11,木,5.3,0,12.27,0,2.4,北西,1008.9,38,0.8,晴,快晴
2018,1,12,金,2.7,0,12.36,0,2.0,北西,1016.4,36,3.5,晴,晴一時曇
2018,1,13,土,2.7,0,12.35,0,2.3,北北西,1019.3,51,0.5,快晴,快晴
2018,1,14,日,4.1,0,12.90,0,3.1,北西,1025.3,43,0.0,快晴,快晴
2018,1,15,月,4.2,0,11.53,0,2.0,北北西,1020.4,53,1.5,晴時々薄曇,晴
2018,1,16,火,7.1,0,12.06,0,1.6,西北西,1016.6,56,3.8,晴時々薄曇,晴時々曇
2018,1,17,水,6.9,15.0,2.72,0,2.1,北北西,1009.9,81,9.8,曇後雨,雨後晴
2018,1,18,木,8.3,0.0,8.78,0,1.9,南,1010.0,86,5.5,晴後曇,薄曇時々晴
2018,1,19,金,8.4,0,8.64,0,2.7,北北西,1015.5,54,8.0,晴後曇,曇後一時雨
2018,1,20,土,6.3,0.0,6.97,0,1.6,北北西,1014.5,70,6.5,曇後晴,晴
2018,1,21,日,7.0,0,12.19,0,2.1,北,1013.4,60,3.8,晴,薄曇時々晴
2018,1,22,月,1.7,24.0,0.92,23,3.0,北北西,1013.2,83,10.0,大雪一時曇,大雪後曇
2018,1,23,火,3.7,0.0,13.07,0,2.8,南南西,1002.7,69,3.0,快晴,晴一時薄曇
2018,1,24,水,2.2,0,13.32,0,3.3,南西,1003.2,46,2.8,晴,快晴
2018,1,25,木,0.0,0,14.20,0,2.9,北西,1007.1,39,0.3,快晴,快晴
2018,1,26,金,0.5,0,12.66,0,3.8,北西,1004.6,39,2.5,晴一時曇,快晴
2018,1,27,土,2.6,0,14.31,0,4.3,北西,1012.2,33,0.0,快晴,快晴
2018,1,28,日,1.7,0.0,4.72,0,1.9,北北東,1012.7,52,5.0,曇時々晴一時雪,晴一時薄曇
2018,1,29,月,3.7,0.0,11.99,0,2.1,北西,1003.9,66,7.8,晴後一時曇,晴時々曇
2018,1,30,火,3.3,0.0,9.05,0,2.2,北北西,1012.4,52,5.0,晴時々曇,晴
2018,1,31,水,3.9,0,13.04,0,2.0,北北西,1018.5,53,5.5,晴後薄曇,薄曇一時晴
2018,2,1,木,3.0,9.0,4.09,0,2.3,北北東,1021.8,79,9.8,薄曇後雨,雨後雪
2018,2,2,金,1.9,6.0,2.95,1,2.4,北北西,1021.4,94,10.0,雪後みぞれ時々曇,曇時々雨
2018,2,3,土,4.5,0.0,9.54,0,1.9,北北西,1012.7,76,8.5,薄曇時々晴,曇時々晴
2018,2,4,日,5.4,0.0,10.96,0,2.3,北北西,1006.5,54,5.3,晴時々曇、みぞれを伴う,快晴
2018,2,5,月,4.3,0,13.66,0,3.0,北西,1007.4,48,3.3,晴,快晴
2018,2,6,火,3.3,0,15.47,0,2.1,北西,1008.0,44,2.8,晴後一時曇,晴一時曇
2018,2,7,水,3.4,0,15.89,0,2.1,北西,1010.4,34,0.0,快晴,快晴
2018,2,8,木,3.6,0,15.14,0,2.2,北北西,1016.6,43,2.0,晴,快晴
2018,2,9,金,4.2,0,14.78,0,1.9,南,1021.9,50,1.3,晴,晴後薄曇
2018,2,10,土,7.0,1.5,11.75,0,2.7,南南西,1015.2,59,8.0,薄曇時々晴,雨時々曇
2018,2,11,日,8.5,0.0,9.65,0,2.6,北北西,1001.3,55,9.5,曇一時晴,晴時々曇
2018,2,12,月,4.4,0,15.98,0,3.5,北西,1006.8,34,3.8,晴,快晴
2018,2,13,火,3.9,0,12.53,0,1.9,北西,1010.8,38,1.5,晴後一時曇,快晴
2018,2,14,水,6.0,0,16.15,0,3.1,西北西,1013.9,44,2.5,晴,晴時々薄曇
2018,2,15,木,9.6,0,14.48,0,2.7,北北西,1008.5,51,8.3,薄曇時々晴,薄曇
2018,2,16,金,6.3,0,13.24,0,3.1,北北西,1011.1,52,9.0,曇一時晴,曇
2018,2,17,土,5.8,0.0,12.29,0,3.3,北北西,1003.7,54,5.3,晴一時雨,快晴
2018,2,18,日,3.5,0,17.52,0,3.8,北北西,1015.8,33,3.8,晴,薄曇一時晴
2018,2,19,月,5.7,0,15.07,0,2.2,南南東,1016.2,45,7.0,晴時々薄曇,曇後一時晴
2018,2,20,火,7.5,0,16.42,0,2.5,北北西,1012.0,53,6.3,晴,薄曇一時晴
2018,2,21,水,5.9,0,7.96,0,2.6,北,1012.8,52,10.0,曇,曇後雨、みぞれを伴う
2018,2,22,木,2.7,2.0,2.97,0,2.8,北東,1018.1,91,10.0,みぞれ一時雪、あられを伴う,雨後みぞれ一時曇
2018,2,23,金,3.7,0.5,7.54,0,2.0,北北西,1017.5,90,6.0,みぞれ一時曇後晴,快晴
2018,2,24,土,7.4,0,15.84,0,2.5,北北西,1019.0,55,1.0,晴,晴後時々薄曇
2018,2,25,日,5.6,0.0,6.45,0,2.3,北東,1021.8,57,8.5,曇,曇一時雨
2018,2,26,月,6.0,0,13.43,0,2.7,東北東,1019.2,62,6.0,曇後晴,曇一時晴
2018,2,27,火,7.7,0,15.75,0,2.4,南東,1019.2,63,4.3,晴一時曇,快晴
2018,2,28,水,9.1,1.0,12.63,0,2.5,北西,1017.2,64,7.5,薄曇,曇後大雨
2018,3,1,木,12.4,48.0,15.94,0,3.2,西北西,990.8,63,3.8,曇一時雨後晴、雷を伴う,快晴
2018,3,2,金,9.4,0,19.03,0,3.0,北西,1004.5,34,0.5,晴,快晴
2018,3,3,土,9.7,0,17.26,0,2.1,南南東,1014.8,50,5.0,晴後時々薄曇,薄曇後晴
2018,3,4,日,13.9,0,17.70,0,3.7,南,1015.2,63,0.0,快晴,晴後曇
2018,3,5,月,15.6,15.5,4.22,0,4.9,南,1006.7,87,10.0,曇時々雨,雨後時々曇
2018,3,6,火,8.3,3.0,16.25,0,3.5,北東,1019.1,66,6.0,曇後晴,晴一時曇
2018,3,7,水,5.2,0.0,8.71,0,2.8,北東,1031.1,56,8.3,曇,曇時々雨
2018,3,8,木,5.9,26.0,1.78,0,2.9,北北西,1019.8,92,10.0,雨,大雨
2018,3,9,金,11.6,58.0,1.90,0,3.6,北北西,1003.8,85,10.0,雨時々曇,雨時々曇
2018,3,10,土,7.3,1.5,13.00,0,2.8,北北西,1014.9,67,5.8,曇後晴,曇時々晴
